Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-11-05,1590.320621153138,1603.4872372465227,1563.2325025161558,1571.396728515625,64154.0,0.0,0.0
2018-11-06,1585.5542762441778,1585.5542762441778,1560.1649982389786,1568.23486328125,33971.0,0.0,0.0
2018-11-07,1590.3678487425798,1604.5254260310894,1576.2575094642286,1595.464599609375,10046.0,0.0,0.0
2018-11-09,1605.4693918414182,1609.2447460844314,1566.1113699438715,1570.877685546875,83071.0,0.0,0.0
2018-11-12,1576.4465525008316,1590.0378525118938,1555.6821015773062,1565.498046875,109899.0,0.0,0.0
2018-11-13,1562.0527794758368,1572.4350033877608,1510.991137642853,1516.46533203125,49939.0,0.0,0.0
2018-11-14,1515.8046772023285,1525.1487016800702,1463.8935581200572,1476.871337890625,60864.0,0.0,0.0
2018-11-15,1495.8424108022962,1495.8424108022962,1462.9496624034475,1471.066650390625,38572.0,0.0,0.0
2018-11-16,1462.9500345148244,1462.9500345148244,1407.2635493300668,1432.8887939453125,158536.0,0.0,0.0
2018-11-19,1448.6033271002916,1469.5092569995004,1434.6817096941393,1454.8797607421875,74238.0,0.0,0.0
2018-11-20,1453.2753499435173,1453.2753499435173,1411.5104957561487,1423.5916748046875,44636.0,0.0,0.0
2018-11-21,1434.5874365980674,1434.5874365980674,1388.3865831297549,1425.2906494140625,58190.0,0.0,0.0
2018-11-22,1420.4768600540838,1455.3516445190517,1411.9823140471158,1425.8095703125,85821.0,0.0,0.0
2018-11-26,1453.5116118593955,1457.286966695394,1407.263515118415,1442.0911865234375,46571.0,0.0,0.0
2018-11-27,1448.7922273231154,1448.7922273231154,1425.2906235242558,1435.01220703125,36646.0,0.0,0.0
2018-11-28,1431.8031940357573,1499.7595750315218,1431.8031940357573,1480.127685546875,144532.0,0.0,0.0
2018-11-29,1486.5456626663677,1491.1232564259315,1411.038581388076,1449.311279296875,96293.0,0.0,0.0
2018-11-30,1429.821227368123,1477.1075217961034,1425.196394832023,1462.1004638671875,66075.0,0.0,0.0
2018-12-03,1476.8243377074152,1486.5459222051695,1452.2374092022917,1463.5162353515625,53350.0,0.0,0.0
2018-12-04,1453.6998230150132,1486.2151242503614,1451.198743486225,1465.497802734375,117357.0,0.0,0.0
2018-12-05,1462.949590412619,1500.703128229719,1458.3247589870934,1488.2445068359375,61491.0,0.0,0.0
2018-12-06,1485.5076491237055,1485.5076491237055,1427.0840146350622,1429.9627685546875,46922.0,0.0,0.0
2018-12-07,1441.194279641529,1457.2867735833534,1430.0098154649277,1448.037109375,86432.0,0.0,0.0
2018-12-10,1442.1852676741087,1468.6127464011213,1416.701627473061,1464.082275390625,50798.0,0.0,0.0
2018-12-11,1422.3646595190603,1490.7929526943303,1422.3646595190603,1463.8935546875,85742.0,0.0,0.0
2018-12-12,1481.7795652490327,1495.9843841942925,1460.1185125227573,1483.76171875,65681.0,0.0,0.0
2018-12-13,1495.9840226827705,1527.1306931865756,1472.6712578157865,1509.7169189453125,167335.0,0.0,0.0
2018-12-14,1526.1868176151993,1570.7359476526742,1508.2538865486015,1543.8837890625,150967.0,0.0,0.0
2018-12-17,1550.6325853716264,1556.3899782579645,1516.2768344884291,1552.708984375,70647.0,0.0,0.0
